Employee_ID;Department;Gender;Age;Job_Title;Hire_Date;Years_At_Company;Education_Level;Performance_Score;Monthly_Salary;Work_Hours_Per_Week;Projects_Handled;Overtime_Hours;Sick_Days;Remote_Work_Frequency;Team_Size;Training_Hours;Promotions;Employee_Satisfaction_Score;Resigned
1;IT;Male;55;Specialist;2022-01-19 08:03:05.556036;2;High School;5;6750.0;33;32;22;2;0;14;66;0;2.63;FALSE
2;Finance;Male;29;Developer;2024-04-18 08:03:05.556036;0;High School;5;7500.0;34;34;13;14;100;12;61;2;1.72;FALSE
3;Finance;Male;55;Specialist;2015-10-26 08:03:05.556036;8;High School;3;5850.0;37;27;6;3;50;10;1;0;3.17;FALSE
4;Customer Support;Female;48;Analyst;2016-10-22 08:03:05.556036;7;Bachelor;2;4800.0;52;10;28;12;100;10;0;1;1.86;FALSE
5;Engineering;Female;36;Analyst;2021-07-23 08:03:05.556036;3;Bachelor;2;4800.0;38;11;29;13;100;15;9;1;1.25;FALSE
6;IT;Male;43;Manager;2016-08-14 08:03:05.556036;8;High School;3;7800.0;46;31;8;0;100;15;95;0;2.77;FALSE
7;IT;Male;37;Technician;2023-08-28 08:03:05.556036;1;Bachelor;5;5250.0;55;20;29;2;0;16;27;0;4.46;FALSE
8;Engineering;Female;55;Engineer;2014-10-27 08:03:05.556036;9;Bachelor;2;7200.0;42;46;7;8;100;7;64;0;2.09;FALSE
9;Marketing;Female;55;Technician;2023-06-29 08:03:05.556036;1;High School;2;4200.0;51;23;21;14;0;1;0;1;1.44;FALSE
10;Engineering;Female;45;Consultant;2016-12-23 08:03:05.556036;7;Bachelor;1;6050.0;41;33;2;6;75;4;53;2;2.93;FALSE
11;Customer Support;Male;52;Engineer;2019-11-26 08:03:05.556036;4;Bachelor;3;7800.0;38;1;5;0;25;4;90;1;2.34;FALSE
12;Customer Support;Male;27;Technician;2015-02-19 08:03:05.556036;9;Bachelor;5;5250.0;39;13;2;13;25;5;88;0;1.96;FALSE
13;HR;Male;51;Technician;2019-07-04 08:03:05.556036;5;Bachelor;4;4900.0;31;11;16;1;75;7;17;2;2.13;FALSE
14;Engineering;Male;27;Analyst;2014-10-14 08:03:05.556036;9;Bachelor;4;5600.0;33;30;5;13;25;4;26;1;1.46;FALSE
15;Finance;Male;46;Analyst;2023-03-11 08:03:05.556036;1;Master;1;4400.0;33;49;13;1;100;13;37;1;2.22;FALSE
16;Customer Support;Male;26;Developer;2023-04-19 08:03:05.556036;1;High School;2;6000.0;33;41;9;13;50;3;46;1;2.42;FALSE
17;Operations;Male;29;Engineer;2019-09-21 08:03:05.556036;4;Bachelor;2;7200.0;43;26;29;12;0;6;76;2;3.15;FALSE
18;Sales;Other;28;Developer;2022-11-08 08:03:05.556036;1;High School;3;6500.0;47;36;6;12;75;12;54;0;1.19;FALSE
19;Customer Support;Other;56;Developer;2015-10-01 08:03:05.556036;8;Bachelor;1;5500.0;57;9;24;1;75;1;36;0;1.12;FALSE
20;Finance;Male;23;Technician;2015-05-08 08:03:05.556036;9;High School;2;4200.0;52;0;9;1;0;5;66;0;3.91;FALSE
21;Operations;Female;33;Manager;2022-12-19 08:03:05.556036;1;Bachelor;1;6600.0;33;28;13;13;50;15;53;2;3.7;FALSE
22;Sales;Male;59;Manager;2017-05-25 08:03:05.556036;7;Master;5;9000.0;30;22;9;2;25;4;20;0;4.66;FALSE
23;Finance;Male;26;Specialist;2016-07-23 08:03:05.556036;8;High School;4;6300.0;48;40;9;13;0;13;71;2;3.68;FALSE
24;Sales;Male;58;Consultant;2018-01-21 08:03:05.556036;6;Master;2;6600.0;55;2;28;8;25;6;78;2;4.26;FALSE
25;HR;Female;38;Analyst;2018-06-23 08:03:05.556036;6;Bachelor;2;4800.0;50;21;24;11;25;7;49;1;4.43;FALSE
26;Customer Support;Male;38;Specialist;2022-05-03 08:03:05.556036;2;Bachelor;5;6750.0;59;24;0;13;25;3;9;2;2.12;FALSE
27;Finance;Male;45;Engineer;2021-07-12 08:03:05.556036;3;Bachelor;2;7200.0;59;24;23;6;0;7;26;1;3.16;FALSE
28;Legal;Male;43;Manager;2014-11-22 08:03:05.556036;9;Master;3;7800.0;44;42;3;10;75;4;45;2;1.35;TRUE
29;Engineering;Male;53;Specialist;2022-04-17 08:03:05.556036;2;Bachelor;2;5400.0;31;34;14;6;50;6;42;1;4.52;FALSE
30;Finance;Male;52;Analyst;2023-06-21 08:03:05.556036;1;High School;3;5200.0;45;25;29;9;25;2;37;2;4.95;FALSE
31;Customer Support;Male;58;Consultant;2018-05-14 08:03:05.556036;6;Bachelor;1;6050.0;38;15;25;2;50;12;16;2;4.65;FALSE
32;Legal;Female;24;Manager;2023-06-12 08:03:05.556036;1;High School;4;8400.0;39;25;7;7;50;18;22;0;1.95;FALSE
33;Customer Support;Male;29;Analyst;2024-06-13 08:03:05.556036;0;High School;2;4800.0;48;49;16;14;50;17;37;0;4.43;FALSE
34;Sales;Female;25;Engineer;2021-09-11 08:03:05.556036;2;PhD;4;8400.0;44;26;24;8;75;18;37;2;2.1;FALSE
35;Marketing;Male;41;Analyst;2019-05-23 08:03:05.556036;5;Master;4;5600.0;34;13;0;10;75;14;36;1;1.94;FALSE
36;HR;Female;42;Engineer;2019-10-12 08:03:05.556036;4;Master;5;9000.0;31;9;18;11;100;8;21;1;4.21;FALSE
37;Sales;Male;43;Consultant;2024-04-04 08:03:05.556036;0;High School;2;6600.0;53;42;10;2;0;16;18;1;4.97;FALSE
38;Sales;Other;46;Consultant;2015-01-13 08:03:05.556036;9;Master;2;6600.0;31;6;15;7;0;2;48;0;2.47;FALSE
39;IT;Male;48;Specialist;2022-02-03 08:03:05.556036;2;Bachelor;1;4950.0;46;7;1;1;0;11;6;1;2.66;FALSE
40;HR;Female;58;Engineer;2023-04-11 08:03:05.556036;1;Bachelor;5;9000.0;44;2;2;8;100;14;85;1;4.22;FALSE
41;HR;Female;44;Analyst;2020-12-25 08:03:05.556036;3;Bachelor;2;4800.0;59;45;9;13;0;16;28;2;2.9;TRUE
