Employee_ID,Department,Job_Title,Years_At_Company,Performance_Score,Work_Hours_Per_Week,Projects_Handled,Employee_Satisfaction_Score,Promotion_Eligibility
1,IT,Specialist,2,5,33,32,2.63,0.4718038556168052
2,Finance,Analyst,3,4,40,25,3.75,0.6
3,HR,Manager,5,3,45,18,4.2,0.6000000000000001
4,IT,Developer,4,5,35,28,2.85,0.5467703349282298
5,Marketing,Specialist,2,4,30,22,3.5,0.6
6,Finance,Executive,6,3,50,15,4.1,0.6
7,IT,Technician,1,5,38,30,2.95,0.5817772317772315
8,HR,Consultant,7,2,42,10,3.6,0.2041666666666667
9,Marketing,Coordinator,3,4,37,20,3.85,0.6
10,Finance,Specialist,8,3,48,27,4.05,0.6000000000000001
